"Plot"	"Year"	"LUI"	"rich_full"
"AEG03"	"2013"	1.41	29
"AEG04"	"2013"	1.88	19
"AEG05"	"2013"	1.92	25
"AEG06"	"2013"	1.99	32
"AEG07"	"2013"	0.43	45
"AEG08"	"2013"	1.44	44
"AEG09"	"2013"	0.67	48
"AEG10"	"2013"	0.98	48
"AEG11"	"2013"	2.07	30
"AEG12"	"2013"	2.22	29
"AEG13"	"2013"	2.22	26
"AEG14"	"2013"	1.64	27
"AEG15"	"2013"	3.52	23
"AEG16"	"2013"	1.81	34
"AEG17"	"2013"	1.63	35
"AEG18"	"2013"	2.24	27
