"Plot"	"Year"	"LUI"	"rich_26spp"
"SEG06"	"2012"	1.45	7
"SEG07"	"2012"	1.99	8
"SEG08"	"2012"	1.8	10
"SEG09"	"2012"	2.05	7
"SEG10"	"2012"	1.75	7
"SEG11"	"2012"	1.75	12
"SEG12"	"2012"	1.83	10
"SEG13"	"2012"	1.37	17
"SEG14"	"2012"	1.24	10
"SEG15"	"2012"	1.42	9
"SEG16"	"2012"	2.42	10
"SEG17"	"2012"	1.43	8
"SEG18"	"2012"	1.37	10
"SEG19"	"2012"	1.47	7
"SEG20"	"2012"	1.46	8
"SEG21"	"2012"	1.39	10
"SEG22"	"2012"	1.82	11
"SEG23"	"2012"	2.22	6
"SEG24"	"2012"	0.97	10
"SEG25"	"2012"	1.37	9
"SEG26"	"2012"	2.22	7
"SEG27"	"2012"	0.97	8
"SEG28"	"2012"	1.37	9
"SEG29"	"2012"	0.97	14
"SEG30"	"2012"	1.37	10
"SEG31"	"2012"	1.37	9
"SEG32"	"2012"	1.37	9
"SEG33"	"2012"	2.14	11
"SEG34"	"2012"	2.09	13
"SEG35"	"2012"	2.02	11
"SEG36"	"2012"	1.38	13
"SEG37"	"2012"	1.64	10
"SEG38"	"2012"	1.58	9
"SEG39"	"2012"	1.15	10
"SEG40"	"2012"	1.9	12
"SEG41"	"2012"	1.2	8
"SEG42"	"2012"	4.05	12
"SEG43"	"2012"	1.4	12
"SEG44"	"2012"	1.43	10
"SEG45"	"2012"	1.31	12
"SEG46"	"2012"	2.3	9
"SEG47"	"2012"	1.75	12
"SEG48"	"2012"	1.59	9
"SEG49"	"2012"	1.57	12
"SEG50"	"2012"	0.68	13
"AEG01"	"2013"	1.94	16
"AEG02"	"2013"	2.52	11
"AEG03"	"2013"	1.41	17
"AEG04"	"2013"	1.88	12
"AEG05"	"2013"	1.92	15
"AEG06"	"2013"	1.99	17
"AEG07"	"2013"	0.43	5
"AEG08"	"2013"	1.44	13
"AEG09"	"2013"	0.67	8
"AEG10"	"2013"	0.98	15
"AEG11"	"2013"	2.07	15
"AEG12"	"2013"	2.22	16
"AEG13"	"2013"	2.22	14
"AEG14"	"2013"	1.64	16
"AEG15"	"2013"	3.52	14
"AEG16"	"2013"	1.81	18
"AEG17"	"2013"	1.63	14
"AEG18"	"2013"	2.24	18
